lugar_trabajo,tipo_contrato,salario_mensual_bruto,salario_mensual_neto,trabajo_de,anios_experiencia,anios_empresa_actual,anios_puesto_actual,personal_a_cargo,plataformas,lenguajes_programacion,framework_librerias_herramientas,bases_de_datos,qa_testing,ides,cantidad_personal_organizacion,actividad_principal,edad
Río Negro,Full-Time,51877,42377,Administrador de redes ,4,4,4,0,"Amazon Web Services, Arduino o similar, Google Cloud Platform/App Engine, Linux, VMWare, Proxmox","Java, Javascript, PHP, Python","Django, WordPress","MongoDB, MySQL, PostgreSQL, SQLite",Ninguna de las anteriores,"Notepad++, Vi, Vim",501-1000,Otras industrias,37
Río Negro,Full-Time,51877,42377,Administrador de redes ,4,4,4,0,"Amazon Web Services, Arduino o similar, Google Cloud Platform/App Engine, Linux, VMWare, Proxmox","Java, Javascript, PHP, Python","Django, WordPress","MongoDB, MySQL, PostgreSQL, SQLite",Ninguna de las anteriores,"Notepad++, Vi, Vim",501-1000,Otras industrias,37
GBA,Full-Time,51870,43052,Business Analyst,1,1,1,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,MySQL,Ninguna de las anteriores,Visual Studio,501-1000,Servicios / Consultoría de Software / Digital,25
Ciudad Autónoma de Buenos Aires,Part-Time,51800,42994,Developer,1,0,0,0,"Docker, Linux","CSS, HTML, Java, Javascript, Python, Ruby, SQL, TypeScript","Bootstrap, Django, jQuery, Rails","Cassandra, ElasticSearch, PostgreSQL, Redis, SQLite",RSpec,IntelliJ,11-50,Servicios / Consultoría de Software / Digital,20
Ciudad Autónoma de Buenos Aires,Full-Time,51735,43348,Developer,25,15,1,0,"Docker, Firebase, Google Cloud Platform/App Engine, OpenShift","Java, Kotlin, SQL, Swift",Bootstrap,"Microsoft SQL Server, SQLite",Ninguna de las anteriores,"Android Studio, IntelliJ, PyCharm, Sublime Text, Visual Studio Code, Xcode",5001-10000,Otras industrias,46
Provincia de Buenos Aires,Full-Time,51600,42700,Developer,1,0,0,0,"Azure, Windows Server",".NET, C#, Javascript, SQL",".NET Core, Bootstrap, jQuery",Microsoft SQL Server,Ninguna de las anteriores,"Notepad++, Visual Studio, Visual Studio Code",10001+,Servicios / Consultoría de Software / Digital,29
GBA,Full-Time,51500,41000,Data Engineer,0,0,0,0,Ninguna de las anteriores,Python,Ninguno de los anteriores,MongoDB,Ninguna de las anteriores,Visual Studio Code,51-100,Producto basado en Software,22
Santa Fe,Full-Time,51423,42000,soporte tecnico,2,5,5,0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,Sybase,Ninguna de las anteriores,Ninguno de los anteriores,11-50,Producto basado en Software,60
GBA,Full-Time,51350,46593,HelpDesk,15,1,1,0,"Google Cloud Platform/App Engine, Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,1-10,Servicios / Consultoría de Software / Digital,34
Ciudad Autónoma de Buenos Aires,Full-Time,51283,43000,Developer,2,2,2,0,"*BSD, Windows Server",".NET, C#, HTML, Javascript, SQL, TypeScript",".NET Core, Hibernate",Microsoft SQL Server,Ninguna de las anteriores,"Notepad++, Visual Studio, Visual Studio Code",5001-10000,Servicios / Consultoría de Software / Digital,31
Ciudad Autónoma de Buenos Aires,Full-Time,51239,41900,HelpDesk,1,1,1,2,"Linux, VMWare, Windows Server",SQL,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,"Atom, Notepad++",501-1000,Producto basado en Software,23
Ciudad Autónoma de Buenos Aires,Full-Time,51000,41000,QA / Tester,0,0,0,0,Ninguna de las anteriores,Java,SAP,Ninguna de las anteriores,ServiceNow,Ninguno de los anteriores,1001-2000,Servicios / Consultoría de Software / Digital,26
Ciudad Autónoma de Buenos Aires,Part-Time,51000,42000,HelpDesk,8,5,5,0,Windows Server,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,101-200,Otras industrias,28
Ciudad Autónoma de Buenos Aires,Tercerizado (trabajo a través de consultora o agencia),51000,43000,HelpDesk,1,1,1,0,Ninguna de las anteriores,Java,Ninguno de los anteriores,MySQL,Ninguna de las anteriores,Visual Studio,10001+,Servicios / Consultoría de Software / Digital,28
Mendoza,Full-Time,51000,41000,SysAdmin / DevOps / SRE,13,12,2,4,"Amazon Web Services, Azure, Docker, Linux, Windows Server, SQL SERVER, POWER BI, MICROSOFT 365","Bash/Shell, Javascript, PHP, SQL, TypeScript, VBA","Angular, Bootstrap, Cordova, Node.js","Amazon RDS/Aurora, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL, PostgreSQL",Postman,"Notepad++, Visual Studio Code, SQL SERVER MANAGEMENT STUDIO",11-50,Producto basado en Software,33
Ciudad Autónoma de Buenos Aires,Full-Time,51000,41000,Developer,0,0,0,0,Ninguna de las anteriores,"HTML, Python",Ninguno de los anteriores,MongoDB,Ninguna de las anteriores,"Coda, Visual Studio Code",51-100,Producto basado en Software,32
Córdoba,Full-Time,51000,43500,BI Analyst / Data Analyst,0,0,0,0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,Ninguno de los anteriores,51-100,Producto basado en Software,21
GBA,Full-Time,51000,41500,Consultant,29,11,5,4,"Amazon Web Services, HP-UX, Linux, Solaris, VMWare, Windows Server","Bash/Shell, Python, SQL",Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, MySQL, Oracle, SQLite",Ninguna de las anteriores,IPython / Jupyter,1-10,Servicios / Consultoría de Software / Digital,53
Ciudad Autónoma de Buenos Aires,Full-Time,51000,42800,Developer,0,0,0,0,"Docker, Linux","CSS, HTML, Java, Javascript, SQL","Bootstrap, Spring, Camel",MongoDB,Postman,"IntelliJ, Visual Studio Code",11-50,Servicios / Consultoría de Software / Digital,28
Córdoba,Full-Time,51000,42000,Developer,0,0,0,3,"Amazon Web Services, Firebase, Windows Server",".NET, C#, HTML",".NET Core, Angular, Bootstrap","Microsoft SQL Server, MySQL",Postman,"Visual Studio, Visual Studio Code",101-200,Servicios / Consultoría de Software / Digital,21
Córdoba,Full-Time,51000,42000,Developer,0,0,0,3,"Amazon Web Services, Firebase, Windows Server",".NET, C#, HTML",".NET Core, Angular, Bootstrap","Microsoft SQL Server, MySQL",Postman,"Visual Studio, Visual Studio Code",101-200,Servicios / Consultoría de Software / Digital,21
Provincia de Buenos Aires,Full-Time,50835,42412,Networking,4,2,2,0,"Windows Server, Cisco, aruba",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,5001-10000,Otras industrias,24
Ciudad Autónoma de Buenos Aires,Part-Time,50747,42121,Developer,0,0,0,0,"Amazon Web Services, Linux",Java,Hibernate,"Amazon DynamoDB, Amazon RDS/Aurora",JUnit,IntelliJ,51-100,Servicios / Consultoría de Software / Digital,20
Ciudad Autónoma de Buenos Aires,Full-Time,50625,50625,Developer,3,3,3,0,Linux,".NET, C#, Javascript, SQL","Angular, Flask, Node.js","MongoDB, Oracle",Ninguna de las anteriores,"Visual Studio, Visual Studio Code, MonoDevelop",10001+,Otras industrias,31
GBA,Full-Time,50600,45000,SysAdmin / DevOps / SRE,4,2,2,0,Amazon Web Services,"PHP, SQL",Moodle,"MariaDB, MySQL, PostgreSQL",Ninguna de las anteriores,Ninguno de los anteriores,501-1000,Otras industrias,33
Córdoba,Full-Time,50546,46446,HelpDesk,10,9,9,0,"Docker, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,11-50,Servicios / Consultoría de Software / Digital,31
Ciudad Autónoma de Buenos Aires,Full-Time,50500,42000,Developer,1,1,1,0,"Azure, Windows Server, Ninguna de las anteriores",".NET, C#, HTML, Javascript, SQL",".NET Core, jQuery",Microsoft SQL Server,Ninguna de las anteriores,"Visual Studio, Visual Studio Code",201-500,Otras industrias,21
GBA,Full-Time,50235,48934,Developer,4,4,0,0,"Docker, Linux","CSS, HTML, Javascript","Bootstrap, jQuery, Node.js, WordPress",Ninguna de las anteriores,Ninguna de las anteriores,"Notepad++, Visual Studio Code",101-200,Otras industrias,35
GBA,Part-Time,50200,41000,Developer,0,0,0,0,Ninguna de las anteriores,Javascript,"Bootstrap, React.js, Vue.js",Ninguna de las anteriores,Ninguna de las anteriores,Visual Studio,1-10,Producto basado en Software,23
Córdoba,Full-Time,50136,45700,QA / Tester,2,2,2,0,"Azure, VMWare",".NET, C#, CSS, HTML, Javascript",jQuery,PostgreSQL,"NUnit, Postman, Selenium, TFS","Visual Studio, Visual Studio Code",11-50,Producto basado en Software,27
San Juan,Full-Time,50000,42000,Developer,1,1,1,0,Firebase,"HTML, Javascript, TypeScript","Node.js, Stencil",Microsoft SQL Server,Ninguna de las anteriores,Visual Studio Code,11-50,Producto basado en Software,27
Santa Fe,Full-Time,50000,42000,Developer,0,0,0,0,Ninguna de las anteriores,Javascript,"React.js, React Native",Ninguna de las anteriores,Ninguna de las anteriores,"Android Studio, Visual Studio Code",201-500,Producto basado en Software,26
Ciudad Autónoma de Buenos Aires,Tercerizado (trabajo a través de consultora o agencia),50000,41500,Developer,1,1,1,0,"Docker, Linux","CSS, HTML, Javascript, TypeScript","Node.js, React.js","Amazon DynamoDB, ElasticSearch, MongoDB","Jest, Mocha, Postman","Vim, Visual Studio Code",1001-2000,Servicios / Consultoría de Software / Digital,30
Provincia de Buenos Aires,Full-Time,50000,42000,Developer,1,0,0,0,Linux,"CSS, HTML, Javascript, TypeScript","Node.js, React.js, Vue.js","MongoDB, PostgreSQL","Jest, Postman",Visual Studio Code,101-200,Servicios / Consultoría de Software / Digital,24
Santa Fe,Full-Time,50000,42000,Developer,0,0,0,0,"Azure, Windows Server",".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Angular",Microsoft SQL Server,TFS,"Notepad++, Visual Studio, Visual Studio Code",201-500,Producto basado en Software,21
Ciudad Autónoma de Buenos Aires,Full-Time,50000,47000,Developer,1,1,1,0,Sitecore ,"HTML, Javascript",Bootstrap,Microsoft SQL Server,Ninguna de las anteriores,Visual Studio Code,10001+,Servicios / Consultoría de Software / Digital,23
Provincia de Buenos Aires,Full-Time,50000,36900,Technical Leader,7,7,7,1,Linux,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,"NetBeans, Vi, Vim",11-50,Servicios / Consultoría de Software / Digital,32
Ciudad Autónoma de Buenos Aires,Part-Time,50000,,Developer,1,1,1,2,"Amazon Web Services, Docker, Linux","Dart, Ruby",Rails,MySQL,RSpec,Visual Studio Code,1-10,Otras industrias,25
Entre Ríos,Freelance,50000,45000,Soporte nivel 1 y 2,15,6,6,0,Windows Server,Ninguno de los anteriores,Ninguno de los anteriores,MySQL,Ninguna de las anteriores,Ninguno de los anteriores,11-50,Servicios / Consultoría de Software / Digital,43
Chaco,Full-Time,50000,42000,QA / Tester,2,1.5,2,0,"Amazon Web Services, Firebase","Java, SQL",Ninguno de los anteriores,"Amazon DynamoDB, MongoDB, Oracle, PostgreSQL","JUnit, Postman, Selenium",IntelliJ,10001+,Servicios / Consultoría de Software / Digital,26
,Tercerizado (trabajo a través de consultora o agencia),50000,26000,UX,3,3,2,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,10001+,Servicios / Consultoría de Software / Digital,25
Misiones,Full-Time,50000,45000,Developer,12,2,10,2,"Heroku, Linux, Windows Server",".NET, C++, Java, PHP, SQL",".NET Core, Angular, Bootstrap, CodeIgniter, jQuery, Spring","MariaDB, Microsoft SQL Server, MySQL, PostgreSQL, SQLite","JUnit, Postman, Selenium","Android Studio, Atom, Eclipse, IntelliJ, NetBeans, Visual Studio, Visual Studio Code",11-50,Servicios / Consultoría de Software / Digital,36
Córdoba,Full-Time,50000,45000,Developer,0,0,0,0,Linux,Python,Django,PostgreSQL,Ninguna de las anteriores,Atom,11-50,Producto basado en Software,26
Ciudad Autónoma de Buenos Aires,Full-Time,50000,45000,Developer,1,0,0,0,"Docker, Firebase, Google Cloud Platform/App Engine, Linux, Serverless",".NET, C++, CSS, HTML, Javascript, Python, SQL",".NET Core, Bootstrap, Node.js, React.js, Vue.js","Amazon DynamoDB, Google Cloud Storage, MySQL",Visual Studio Coded UI,"Eclipse, IPython / Jupyter, NetBeans, Sublime Text, Visual Studio, Visual Studio Code",101-200,Producto basado en Software,29
Ciudad Autónoma de Buenos Aires,Full-Time,50000,43000,HelpDesk,6,2,2,1,"Windows Server, tango, uas",SQL,".NET Core, SAP",Microsoft SQL Server,Ninguna de las anteriores,Ninguno de los anteriores,501-1000,Servicios / Consultoría de Software / Digital,34
Provincia de Buenos Aires,Tercerizado (trabajo a través de consultora o agencia),50000,45000,Developer,4,2,2,0,Ninguna de las anteriores,"CSS, HTML, Javascript, SQL","Bootstrap, jQuery, Node.js, React.js","MariaDB, MongoDB, MySQL",Ninguna de las anteriores,"Android Studio, Nano",11-50,Servicios / Consultoría de Software / Digital,23
Ciudad Autónoma de Buenos Aires,Tercerizado (trabajo a través de consultora o agencia),50000,42000,HelpDesk,5,1,1,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,1-10,Otras industrias,31
Ciudad Autónoma de Buenos Aires,Full-Time,50000,,Developer,1,3,1,0,Windows Server,"Delphi, SQL","Ninguno de los anteriores, Propio",Microsoft SQL Server,"Ninguna de las anteriores, propio",Visual Studio Code,11-50,Producto basado en Software,34
Córdoba,Freelance,50000,50000,Developer,0,0,0,0,Heroku,"HTML, Javascript",Bootstrap,MongoDB,Jest,Visual Studio Code,1-10,Servicios / Consultoría de Software / Digital,29
Córdoba,Full-Time,50000,140000,SysAdmin / DevOps / SRE,14,0,1,0,"Amazon Web Services, Docker, Linux",Bash/Shell,Ninguno de los anteriores,Amazon RDS/Aurora,Ninguna de las anteriores,"Vi, Vim, Visual Studio Code",11-50,Producto basado en Software,34
Chaco,Tercerizado (trabajo a través de consultora o agencia),50000,48000,Developer,3,0,0,0,"Docker, Linux","CSS, HTML, Javascript, PHP","Bootstrap, Symfony","MariaDB, MySQL, PostgreSQL",Ninguna de las anteriores,Visual Studio Code,201-500,Producto basado en Software,27
Ciudad Autónoma de Buenos Aires,Full-Time,50000,41500,QA / Tester,2,0,2,0,"Google Cloud Platform/App Engine, Serverless","CSS, HTML, Javascript, SQL",jQuery,"MariaDB, MySQL","Postman, Selenium",Visual Studio Code,11-50,Producto basado en Software,30
Entre Ríos,Full-Time,50000,42000,Developer,2,0,0,0,"Heroku, Serverless","CSS, HTML, Javascript, TypeScript","Bootstrap, Node.js, React.js",MongoDB,Ninguna de las anteriores,"Notepad++, Visual Studio Code",1-10,Servicios / Consultoría de Software / Digital,24
GBA,Freelance,50000,45000,UX,1,0,2,0,SAP,"HTML, Java, Javascript, Kotlin, Python, Ruby","Angular, Bootstrap, Rails, WordPress",MySQL,Visual Studio Coded UI,Ninguno de los anteriores,1-10,Servicios / Consultoría de Software / Digital,33
Ciudad Autónoma de Buenos Aires,Part-Time,50000,41500,Developer,2,2,1,0,"Amazon Web Services, Docker, Linux","Bash/Shell, PHP, SQL",Ninguno de los anteriores,"MariaDB, MySQL",Ninguna de las anteriores,Visual Studio Code,51-100,Producto basado en Software,26
Ciudad Autónoma de Buenos Aires,Part-Time,50000,50000,Developer,0,0,0,0,Linux,Python,Ninguno de los anteriores,MongoDB,Ninguna de las anteriores,Visual Studio Code,1-10,Producto basado en Software,29
Ciudad Autónoma de Buenos Aires,Freelance,50000,42500,Developer,0,0,0,0,Ninguna de las anteriores,Javascript,Bootstrap,Ninguna de las anteriores,Ninguna de las anteriores,Visual Studio Code,1-10,Otras industrias,34
Provincia de Buenos Aires,Full-Time,50000,41500,Developer,0,0,0,0,Ninguna de las anteriores,"Java, SQL","Hibernate, Spring",Oracle,JUnit,Eclipse,51-100,Producto basado en Software,25
GBA,Full-Time,50000,42000,Developer,1,1,1,0,Linux,"HTML, PHP, SQL","Bootstrap, jQuery","MariaDB, MySQL, PostgreSQL",PHPUnit,Visual Studio Code,101-200,Otras industrias,37
Santa Fe,Full-Time,50000,42,Developer,0,0,0,0,"Docker, Linux","HTML, Javascript, Python, SQL",Bootstrap,"Google Cloud Storage, MySQL",Ninguna de las anteriores,Visual Studio Code,11-50,Producto basado en Software,27
Córdoba,Full-Time,50000,43000,Developer,1,1,1,0,"Azure, Windows Server",".NET, C#, HTML, Javascript, SQL, TypeScript",".NET Core, jQuery","Microsoft Azure (Tables, CosmosDB, SQL, etc)",Ninguna de las anteriores,Visual Studio,51-100,Servicios / Consultoría de Software / Digital,30
Ciudad Autónoma de Buenos Aires,Full-Time,50000,,Developer,1,0,0,0,Ninguna de las anteriores,"CSS, HTML, Javascript, PHP","Bootstrap, Laravel, Node.js, Vue.js",MySQL,Ninguna de las anteriores,"Atom, PHPStorm, Visual Studio Code",51-100,Producto basado en Software,30
Ciudad Autónoma de Buenos Aires,Full-Time,50000,41500,QA / Tester,0,1,0,0,Ninguna de las anteriores,SOQL,Ninguno de los anteriores,Ninguna de las anteriores,"Ninguna de las anteriores, Salesforce Inspector, Gherkin",Visual Studio Code,101-200,Servicios / Consultoría de Software / Digital,28
Ciudad Autónoma de Buenos Aires,Full-Time,50000,45000,Developer,2,2,2,0,Docker,"CSS, HTML, Javascript, PHP","Bootstrap, jQuery, React.js",Ninguna de las anteriores,PHPUnit,"PHPStorm, Vim, Visual Studio Code",11-50,Producto basado en Software,25
Mendoza,Full-Time,50000,49000,Data Engineer,0,0,0,0,Azure,"Python, SQL","Spark, DataBricks","IBM Db2, Microsoft SQL Server",Ninguna de las anteriores,Notepad++,11-50,Servicios / Consultoría de Software / Digital,37
Chaco,Full-Time,50000,41500,QA / Tester,0,0,0,0,"Amazon Web Services, Linux, VMWare","Bash/Shell, Java, SQL",Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, MySQL, Oracle","JUnit, Postman, Selenium",IntelliJ,10001+,Producto basado en Software,45
Ciudad Autónoma de Buenos Aires,Full-Time,50000,42000,Developer,0,0,0,0,Azure,.NET,.NET Core,Microsoft SQL Server,Ninguna,"Notepad++, Visual Studio, Visual Studio Code",101-200,Producto basado en Software,21
Córdoba,Full-Time,50000,42000,UX,2,1,0,0,"Google Cloud Platform/App Engine, Windows Server","CSS, HTML",WordPress,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,1001-2000,Producto basado en Software,27
Santa Fe,Full-Time,50000,,Developer,0,0,0,0,Ninguna de las anteriores,".NET, C#, CSS, HTML, Javascript, PHP, SQL","Angular, Bootstrap, jQuery, Laravel",MySQL,Ninguna de las anteriores,"Visual Studio, Visual Studio Code",10001+,Servicios / Consultoría de Software / Digital,23
Provincia de Buenos Aires,Freelance,50000,,Developer,1,0,1,0,Linux,"Javascript, Python","Bootstrap, Django, React.js",MongoDB,Jest,Ninguno de los anteriores,1-10,Producto basado en Software,22
,Full-Time,50000,39000,SysAdmin / DevOps / SRE,11,3,3,0,"Linux, VMWare, Windows Server, Zabbix","Bash/Shell, Python, SQL",Node.js,"MariaDB, Microsoft SQL Server, MongoDB, MySQL","Postman, SoapUI","Nano, Notepad++, Vi",1001-2000,Servicios / Consultoría de Software / Digital,32
Ciudad Autónoma de Buenos Aires,Full-Time,50000,110000,Architect,10,10,3,5,SAP,Javascript,SAP,Ninguna de las anteriores,SoapUI,Visual Studio Code,11-50,Producto basado en Software,29
Tucumán,Part-Time,50000,41000,SysAdmin / DevOps / SRE,10,1,5,0,"Docker, Google Cloud Platform/App Engine, Linux, VMWare, Windows Server",Javascript,"Node.js, React.js","MariaDB, MySQL, PostgreSQL",Ninguna de las anteriores,"IntelliJ, Vi, Visual Studio Code",501-1000,Otras industrias,27
Ciudad Autónoma de Buenos Aires,Part-Time,50000,50000,Developer,0,0,0,0,Linux,Python,Ninguno de los anteriores,MongoDB,Ninguna de las anteriores,Visual Studio Code,1-10,Producto basado en Software,29
Ciudad Autónoma de Buenos Aires,Full-Time,50000,41500,Developer,1.4,1.4,1.4,0,Ninguna de las anteriores,"CSS, HTML, Java, Javascript, SQL, TypeScript","Angular, Spring",Oracle,Postman,"Eclipse, IntelliJ, Visual Studio Code",11-50,Servicios / Consultoría de Software / Digital,22
Córdoba,Full-Time,50000,50000,Developer,1.5,1,1,0,Ninguna de las anteriores,".NET, C#, SQL",Ninguno de los anteriores,Oracle,Ninguna de las anteriores,"Visual Studio, Visual Studio Code, PLSQL Developer / Oracle SQL developer",501-1000,Producto basado en Software,23
Córdoba,Full-Time,50000,45000,Developer,1,1,1,0,Linux,"CSS, HTML, Javascript, Objective-C",React.js,Ninguna de las anteriores,Ninguna de las anteriores,"Android Studio, Visual Studio Code",11-50,Producto basado en Software,28
Provincia de Buenos Aires,Full-Time,50000,41500,SysAdmin / DevOps / SRE,2,0,2,0,"Amazon Web Services, Docker, Linux, VMWare, Windows Server, Virtualmin, Nextcloud, otros","Bash/Shell, Python, SQL","Drupal, Symfony","MariaDB, Microsoft SQL Server, MongoDB, MySQL",Ninguna de las anteriores,"Nano, Sublime Text, Vim",11-50,Servicios / Consultoría de Software / Digital,34
Ciudad Autónoma de Buenos Aires,Full-Time,50000,41.5,Developer,0,0,0,0,Linux,"CSS, HTML, Javascript","Node.js, React Native",Microsoft SQL Server,Jest,"Android Studio, WebStorm",51-100,Producto basado en Software,22
Ciudad Autónoma de Buenos Aires,Tercerizado (trabajo a través de consultora o agencia),50000,41500,Developer,1,0,0,5,LowCode,Javascript,Ninguno de los anteriores,MySQL,Ninguna de las anteriores,Visual Studio Code,1001-2000,Producto basado en Software,29
Ciudad Autónoma de Buenos Aires,Full-Time,50000,42000,Developer,1,1,1,0,"Docker, Linux","HTML, PHP","Bootstrap, Laravel","MariaDB, MySQL","PHPUnit, Postman","Sublime Text, Visual Studio Code",51-100,Otras industrias,27
Ciudad Autónoma de Buenos Aires,Full-Time,50000,41000,QA / Tester,0,1,0,0,Jira,Gherkin,Ninguno de los anteriores,SOQL,Ninguna de las anteriores,"Notepad++, Visual Studio Code",101-200,Servicios / Consultoría de Software / Digital,28
Provincia de Buenos Aires,Full-Time,50000,50000,Administración ,10,0,10,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,MySQL,Ninguna de las anteriores,Ninguno de los anteriores,201-500,Otras industrias,32
Ciudad Autónoma de Buenos Aires,Full-Time,50000,50000,Developer,2,2,2,0,"Heroku, Linux","CSS, HTML, Javascript","Node.js, React.js",MySQL,Ninguna de las anteriores,"Sublime Text, Visual Studio Code",1-10,Producto basado en Software,28
Provincia de Buenos Aires,Full-Time,50000,43000,Developer,1,1,1,0,Linux,"HTML, Javascript",React.js,PostgreSQL,As,Visual Studio Code,1-10,Producto basado en Software,25
Ciudad Autónoma de Buenos Aires,Part-Time,50000,47000,SysAdmin / DevOps / SRE,8,1,6,0,"Azure, Docker, Kubernetes, Linux, Windows Server","Bash/Shell, Python, SQL",X,"MariaDB, MySQL, PostgreSQL",X,"Sublime Text, Vim, Visual Studio",201-500,Servicios / Consultoría de Software / Digital,27
Provincia de Buenos Aires,Full-Time,50000,43000,Architect,1,1,1,0,"Linux, Windows Server","Java, SQL",Ninguno de los anteriores,"Cassandra, ElasticSearch, Oracle",SoapUI,"Notepad++, Sublime Text",10001+,Servicios / Consultoría de Software / Digital,34
Córdoba,Full-Time,50000,36000,QA / Tester,1,1,1,0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,Oracle,"Cucumber, HP UFT, SoapUI","IntelliJ, Pl sql",501-1000,Servicios / Consultoría de Software / Digital,34
GBA,Freelance,50000,50000,Developer,35,0,0,0,Ninguna de las anteriores,".NET, C#, SQL, Clarion",Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, MySQL, SQLite",Ninguna de las anteriores,"Notepad++, Visual Studio, Visual Studio Code, Clarion",1-10,Producto basado en Software,54
Provincia de Buenos Aires,Full-Time,50000,44000,Project Manager,1.5,1.5,1.5,0,"Azure, SAP",Ninguno de los anteriores,WordPress,"HANA, Microsoft Azure (Tables, CosmosDB, SQL, etc)",Ninguna de las anteriores,Ninguno de los anteriores,11-50,Servicios / Consultoría de Software / Digital,31
Ciudad Autónoma de Buenos Aires,Tercerizado (trabajo a través de consultora o agencia),50000,43000,Developer,0,0,0,0,"Amazon Web Services, Docker, Linux","Bash/Shell, CSS, HTML, Javascript, Python, SQL",Django,PostgreSQL,"Cucumber, Selenium","PyCharm, Visual Studio Code",11-50,Producto basado en Software,24
Santa Fe,Full-Time,50000,70000,Developer,3,0,3,0,Ninguna de las anteriores,".NET, C#, CSS, HTML, Java, SQL, TypeScript",".NET Core, Angular, Bootstrap, jQuery","Informix, Microsoft SQL Server, MySQL",Ninguna de las anteriores,"Android Studio, Eclipse, Visual Studio, Visual Studio Code",1-10,Otras industrias,30
Ciudad Autónoma de Buenos Aires,Part-Time,50000,43000,Developer,0,0,0,0,Azure,".NET, C#",".NET Core, Angular","Microsoft Azure (Tables, CosmosDB, SQL, etc)",JUnit,"Eclipse, IntelliJ, Visual Studio",11-50,Servicios / Consultoría de Software / Digital,28
Tucumán,Full-Time,50000,50000,Developer,1,1,1,2,Amazon Web Services,Javascript,"Node.js, React.js",MySQL,Ninguna de las anteriores,Visual Studio Code,11-50,Producto basado en Software,25
Provincia de Buenos Aires,Full-Time,50000,40000,HelpDesk,4,0,0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,501-1000,Otras industrias,29
Provincia de Buenos Aires,Full-Time,50000,55000,Technical Leader,5,5,5,3,"Arduino o similar, Linux, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,1-10,Servicios / Consultoría de Software / Digital,23
Neuquén,Full-Time,50000,60000,SysAdmin / DevOps / SRE,10,0,15,0,"HP-UX, IBM Cloud / Watson, Linux, Microcontroladores, Serverless, VMWare, Windows Server",".NET, Arduino, C++, Python, SQL",".NET Core, Ninguno de los anteriores",Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,51-100,Otras industrias,43
Provincia de Buenos Aires,Full-Time,50000,40000,Manager / Director,12,2,9,5,"VMWare, Windows Server, plataformas gubernamentales",SQL,Ninguno de los anteriores,MySQL,Ninguna de las anteriores,Ninguno de los anteriores,1001-2000,Otras industrias,32
,Full-Time,50000,35000,BI Analyst / Data Analyst,5,0,5,2,"Azure, Snowflake ","Python, R","Hadoop, Spark",Microsoft SQL Server,Ninguna de las anteriores,"IPython / Jupyter, PyCharm",201-500,Otras industrias,30
Chaco,Full-Time,50000,40000,HelpDesk,6,8,6,0,"Amazon Web Services, Azure, Windows Server",0,0,0,0,0,5001-10000,Otras industrias,35
Ciudad Autónoma de Buenos Aires,Full-Time,50000,40000, Operador field support,10,1,10,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,51-100,Servicios / Consultoría de Software / Digital,37
Chaco,Full-Time,50000,41500,Developer,2,2,2,0,"Amazon Web Services, Linux, Serverless","CSS, HTML, Java, SQL","Angular, Hibernate, Spring","Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, Microsoft SQL Server, MongoDB, Oracle","JUnit, Postman","Eclipse, Notepad++, Vi, Vim",101-200,Servicios / Consultoría de Software / Digital,28
