lugar_trabajo,tipo_contrato,salario_mensual_bruto,salario_mensual_neto,trabajo_de,anios_experiencia,anios_empresa_actual,anios_puesto_actual,personal_a_cargo,plataformas,lenguajes_programacion,framework_librerias_herramientas,bases_de_datos,qa_testing,ides,cantidad_personal_organizacion,actividad_principal,edad
Ciudad Autónoma de Buenos Aires,Part-Time,69.5,57000,Developer,5,0,5,0,"Amazon Web Services, Docker, Linux","Bash/Shell, CSS, HTML, Javascript, PHP, SQL","jQuery, Laravel, Vue.js",MySQL,Ninguna de las anteriores,"Notepad++, PHPStorm, Vim, Visual Studio Code",51-100,Producto basado en Software,23
Ciudad Autónoma de Buenos Aires,Full-Time,69.48,62139,Sales / Pre-Sales,4,4,2,0,Forti OS,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,11-50,Servicios / Consultoría de Software / Digital,25
Córdoba,Full-Time,67980.12,57324.95,Developer,3,3,3,0,Linux,"C, Python, R, Fortran",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Vim,51-100,Otras industrias,30
Corrientes,Full-Time,"67733,4",58600,Developer,4,4,4,0,"Azure, Windows Server",".NET, C#, CSS, HTML, SQL, TypeScript",".NET Core, Bootstrap, jQuery, Node.js, React.js",Microsoft SQL Server,"NUnit, XUnit","Visual Studio, Visual Studio Code",11-50,Producto basado en Software,29
Santa Fe,Full-Time,67472.36,61002.06,HelpDesk,1,1,1,0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,"Informix, Oracle",Ninguna de las anteriores,Ninguno de los anteriores,5001-10000,Otras industrias,36
Mendoza,Tercerizado (trabajo a través de consultora o agencia),66.7,57.81,Analista Funcional,5,3,3,0,SAP,..,SAP,"Microsoft SQL Server, Oracle","TFS, Visual Studio Coded UI",Visual Studio,51-100,Servicios / Consultoría de Software / Digital,35
Córdoba,Full-Time,65128.36,57437.32,SysAdmin / DevOps / SRE,3,5,3,0,"Linux, VMWare, Windows Server","Bash/Shell, HTML, Ninguno de los anteriores","Drupal, WordPress",Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,1001-2000,Servicios / Consultoría de Software / Digital,33
Provincia de Buenos Aires,Full-Time,62.15,53.12,Developer,11,10,10,0,Ninguna de las anteriores,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Angular, Node.js",Microsoft SQL Server,Ninguna de las anteriores,Visual Studio,11-50,Producto basado en Software,38
Santa Fe,Full-Time,61.3,50.12,Developer,0,0,0,0,Windows Server,".NET, C, SQL, VBA",Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,"Notepad++, Visual Studio",101-200,Otras industrias,22
Ciudad Autónoma de Buenos Aires,Full-Time,600 usd,522,QA / Tester,3,3,0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,10001+,Servicios / Consultoría de Software / Digital,30
